asset_subgroup,sub_category,rank,isin,scheme_code,recommended_fund,selection_reason,custom_reason,pm_tenure_reason,returns_pctile_reason,consistency_reason,direct_regular_reason,div_growth_reason,worst_perf_reason,size_reason,excluded_subgroup_reason
medium_beta_equities,Mid Cap Fund,,INF204K01E21,118665,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,,,,,,,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF204K01E54,118668,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Growth Option,,,,,,,,,,
medium_beta_equities,Mid Cap Fund,,INF204K01299,100375,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF204K01257,106260,NIPPON INDIA GROWTH MID CAP FUND - INSTITUTIONAL Plan - IDCW Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF204K01315,100376,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,,,,,,,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF204K01323,100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,,,,,,,,,,
medium_beta_equities,Mid Cap Fund,,INF663L01DW1,125301,PGIM India Midcap Fund - Direct Plan - Dividend Option - Payout,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF663L01DV3,125307,PGIM India Midcap Fund - Direct Plan - Growth Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF663L01EA5,125306,PGIM India Midcap Fund - Regular Plan - Dividend Option - Payout,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF663L01DZ4,125305,PGIM India Midcap Fund - Regular Plan - Growth Option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF966L01887,120841,quant Mid Cap Fund - Growth Option - Direct Plan,,,,,,,,,,
medium_beta_equities,Mid Cap Fund,,INF966L01176,101065,quant Mid Cap Fund - Growth Option - Regular Plan,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF966L01861,120840,quant Mid Cap Fund - IDCW Option - Direct Plan,,,,,,,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF966L01150,101066,quant Mid Cap Fund - IDCW Option - Regular Plan,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF0K1H01313,154114,Samco Mid Cap Fund - Direct Plan,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF0K1H01321,154115,Samco Mid Cap Fund - Regular Plan,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF200K01TP4,119716,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF200K01TN9,119715,SBI Midcap Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF200K01560,102941,SBI MIDCAP FUND - REGULAR PLAN - GROWTH,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF200K01578,102942,SBI Midcap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF903J01MJ3,119581,Sundaram Mid Cap Fund Direct Plan - Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF903J01MH7,119582,Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF903J01173,101539,Sundaram Mid Cap Fund Regular Plan - Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF903J01181,101538,Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF277K01PY2,119178,Tata Mid Cap Fund - Direct Plan- Growth Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF277K01PW6,119177,Tata Mid Cap Fund - Direct Plan- IDCW Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF277K01626,102328,Tata Mid Cap Fund Regular Plan- Growth Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,,
medium_beta_equities,Mid Cap Fund,,INF277K01DS0,102326,Tata Mid Cap Fund-Regular Plan - IDCW Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF044D01CA9,118872,Taurus Mid Cap Fund - Direct Plan - Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF044D01CB7,118873,Taurus Mid Cap Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF044D01815,100477,Taurus Mid Cap Fund - Regular Plan - Growth,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF044D01781,111642,Taurus Mid Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,,,,"We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
medium_beta_equities,Mid Cap Fund,,INF0GCD01875,154210,TRUSTMF MID CAP FUND -DIRECT -GROWTH,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF0GCD01883,154211,TRUSTMF MID CAP FUND -REGULAR-GROWTH,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF582M01GI3,148073,Union Midcap Fund - Direct Plan - Growth Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF582M01GK9,148074,Union Midcap Fund - Direct Plan - IDCW Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF582M01GM5,148071,Union Midcap Fund - Regular Plan - Growth Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,,,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF582M01GO1,148072,Union Midcap Fund - Regular Plan - IDCW Option,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,"We generally avoid funds that are very small in size, as they may face challenges in stability, liquidity, and long-term scalability. Since this fund is relatively small compared to others in its category, we’ve chosen to exclude it from our recommendations.",
medium_beta_equities,Mid Cap Fund,,INF789F01TY8,120727,UTI Mid Cap Fund - Direct Plan - IDCW,,,"We prefer funds where the portfolio manager has been in charge for at least three years, as this provides enough track record to evaluate their investment style, consistency, and ability to navigate different market conditions with confidence. As the portfolio manager is managing for less than 3 years so we excluded the fund from our recommendation","We usually look for funds that have consistently been among the top performers over time, based on their 3-year returns across the past five years. This helps us focus on funds that perform well steadily, not just in short bursts. Since this fund doesn’t rank in the top 25% of its category on average returns, we’ve chosen not to include it for now.","Apart from returns, we also look for funds that deliver consistent performance, because steady returns over time are more reliable than occasional spikes. Since our analysis shows that this fund’s performance has been inconsistent across different market cycles, we’ve chosen to exclude it for now.",,"We don’t recommend dividend (income payout) funds because the payouts are not extra returns and are less tax-efficient due to dividend tax. Since this fund follows a dividend option, we’ve chosen to exclude it and focus on growth options instead.",,,
